Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Portugal,Tourist Arrivals,1981-03-31T00:00:00,613000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1981-04-30T00:00:00,861000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1981-05-31T00:00:00,917000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1981-06-30T00:00:00,953000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1981-07-31T00:00:00,1183000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1981-08-31T00:00:00,1290000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1981-09-30T00:00:00,1053000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1981-10-31T00:00:00,818000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1981-11-30T00:00:00,460000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1981-12-31T00:00:00,404000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1982-01-31T00:00:00,413000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1982-02-28T00:00:00,475000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1982-03-31T00:00:00,696000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1982-04-30T00:00:00,845000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1982-05-31T00:00:00,929000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1982-06-30T00:00:00,1026000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1982-07-31T00:00:00,1239000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1982-08-31T00:00:00,1364000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
